graph_id,eid,a,b,via,verdict
APT_FP_00054188_17446927_u0,0,침실,침실,door,
APT_FP_00054188_17446927_u0,1,침실,발코니,open,
APT_FP_00054188_17446927_u0,2,침실,거실,open,
APT_FP_00054188_17446927_u0,3,기타,발코니,door,
APT_FP_00054188_17446927_u0,4,기타,거실,door,
APT_FP_00054188_17446927_u0,5,침실,화장실,door,
APT_FP_00054188_17446927_u0,6,침실,발코니,balcony,
APT_FP_00054188_17446927_u0,7,침실,드레스룸,open,
APT_FP_00054188_17446927_u0,8,침실,거실,open,
APT_FP_00054188_17446927_u0,10,거실,화장실,door,
APT_FP_00054188_17446927_u0,11,거실,현관,door,
APT_FP_00054188_17446927_u0,12,거실,발코니,balcony,
APT_FP_00054188_17446927_u0,13,거실,화장실,open,
APT_FP_00054188_17446927_u0,14,거실,침실,open,
APT_FP_00054188_17446927_u0,15,거실,주방,open,
APT_FP_00054188_17446927_u0,16,발코니,주방,balcony,
APT_FP_00054188_17446927_u0,17,화장실,드레스룸,door,
APT_FP_00054188_17446927_u0,18,드레스룸,현관,door,
APT_FP_00054188_17446927_u0,20,발코니,실외기실,door,
APT_FP_00054188_17446927_u1,0,화장실,드레스룸,door,
APT_FP_00054188_17446927_u1,1,화장실,침실,door,
APT_FP_00054188_17446927_u1,2,화장실,거실,open,
APT_FP_00054188_17446927_u1,3,기타,거실,door,
APT_FP_00054188_17446927_u1,4,기타,화장실,door,
APT_FP_00054188_17446927_u1,5,침실,침실,door,
APT_FP_00054188_17446927_u1,6,침실,거실,door,
APT_FP_00054188_17446927_u1,7,주방,발코니,door,
APT_FP_00054188_17446927_u1,8,주방,거실,open,
APT_FP_00054188_17446927_u1,9,주방,침실,open,
APT_FP_00054188_17446927_u1,10,화장실,현관,door,
APT_FP_00054188_17446927_u1,11,화장실,발코니,open,
APT_FP_00054188_17446927_u1,12,화장실,거실,open,
APT_FP_00054188_17446927_u1,13,실외기실,발코니,door,
APT_FP_00054188_17446927_u1,14,현관,거실,door,
APT_FP_00054188_17446927_u1,16,발코니,침실,balcony,
APT_FP_00054188_17446927_u1,17,침실,거실,open,
APT_FP_00054188_17446927_u1,18,드레스룸,침실,open,
APT_FP_00054188_17446927_u3,0,침실,침실,door,
APT_FP_00054188_17446927_u3,1,침실,발코니,door,
APT_FP_00054188_17446927_u3,2,침실,거실,open,
APT_FP_00054188_17446927_u3,3,주방,발코니,balcony,
APT_FP_00054188_17446927_u3,4,기타,거실,door,
APT_FP_00054188_17446927_u3,5,기타,발코니,balcony,
