graph_id,sheet_id,status,reason,n_rooms,n_doors,integrity_passed
APT_FP_cf690f05_17438514_u0,APT_FP_cf690f05_17438514,ok,,5,4,True
APT_FP_e74b9e62_17447720_u0,APT_FP_e74b9e62_17447720,ok,,6,5,True
APT_FP_e74b9e62_17447720_u1,APT_FP_e74b9e62_17447720,ok,,5,4,True
APT_FP_e74b9e62_17447720_u2,APT_FP_e74b9e62_17447720,ok,,6,5,True
APT_FP_47217f55_17446927_u0,APT_FP_47217f55_17446927,ok,,2,1,True
APT_FP_47217f55_17446927_u1,APT_FP_47217f55_17446927,ok,,2,1,True
APT_FP_dbe09fd9_17446927_u0,APT_FP_dbe09fd9_17446927,ok,,3,2,True
APT_FP_dbe09fd9_17446927_u1,APT_FP_dbe09fd9_17446927,ok,,2,1,True
APT_FP_dbe09fd9_17446927_u2,APT_FP_dbe09fd9_17446927,ok,,3,2,True
APT_FP_dbe09fd9_17446927_u3,APT_FP_dbe09fd9_17446927,ok,,3,2,True
APT_FP_efc66948_17434935_u0,APT_FP_efc66948_17434935,ok,,3,2,True
APT_FP_3cb7530f_17446927_u0,APT_FP_3cb7530f_17446927,ok,,2,1,True
APT_FP_3cb7530f_17446927_u1,APT_FP_3cb7530f_17446927,ok,,2,1,True
APT_FP_8ce24016_17446927_u0,APT_FP_8ce24016_17446927,ok,,2,1,True
APT_FP_8ce24016_17446927_u1,APT_FP_8ce24016_17446927,ok,,4,2,True
APT_FP_f6a257d9_17446927_u0,APT_FP_f6a257d9_17446927,ok,,5,4,True
APT_FP_f6a257d9_17446927_u1,APT_FP_f6a257d9_17446927,ok,,11,10,True
APT_FP_79a6e0b5_17438514_u0,APT_FP_79a6e0b5_17438514,ok,,2,1,True
,APT_FP_b0574d55_17434935,rejected,no_unit_with_entrance,17,,
APT_FP_1b13c378_17438443_u0,APT_FP_1b13c378_17438443,ok,,11,9,True
APT_FP_1b13c378_17438443_u1,APT_FP_1b13c378_17438443,ok,,10,8,True
APT_FP_b22f19ca_17446927_u0,APT_FP_b22f19ca_17446927,ok,,2,1,True
APT_FP_b22f19ca_17446927_u1,APT_FP_b22f19ca_17446927,ok,,19,12,True
APT_FP_b22f19ca_17446927_u2,APT_FP_b22f19ca_17446927,ok,,3,2,True
APT_FP_b22f19ca_17446927_u3,APT_FP_b22f19ca_17446927,ok,,2,1,True
,APT_FP_b2f39035_17446927,rejected,no_unit_with_entrance,20,,
APT_FP_9bdd8da4_17438514_u0,APT_FP_9bdd8da4_17438514,ok,,4,3,True
APT_FP_3112b536_17435728_u0,APT_FP_3112b536_17435728,ok,,2,1,True
APT_FP_11840655_17446927_u0,APT_FP_11840655_17446927,ok,,3,2,True
APT_FP_11840655_17446927_u1,APT_FP_11840655_17446927,ok,,3,2,True
APT_FP_11840655_17446927_u2,APT_FP_11840655_17446927,ok,,12,8,True
APT_FP_11840655_17446927_u3,APT_FP_11840655_17446927,ok,,3,2,True
APT_FP_761d9e05_17446927_u0,APT_FP_761d9e05_17446927,ok,,9,7,True
APT_FP_1f29ce4c_17446927_u0,APT_FP_1f29ce4c_17446927,ok,,4,3,True
APT_FP_1f29ce4c_17446927_u1,APT_FP_1f29ce4c_17446927,ok,,3,2,True
APT_FP_1f29ce4c_17446927_u2,APT_FP_1f29ce4c_17446927,ok,,20,12,True
APT_FP_1f29ce4c_17446927_u3,APT_FP_1f29ce4c_17446927,ok,,2,1,True
APT_FP_11e18bd5_17446927_u0,APT_FP_11e18bd5_17446927,ok,,4,3,True
APT_FP_0c44c8d4_17447720_u0,APT_FP_0c44c8d4_17447720,ok,,9,3,True
APT_FP_0c44c8d4_17447720_u1,APT_FP_0c44c8d4_17447720,ok,,3,2,True
,APT_FP_4d8e7597_17434935,rejected,no_unit_with_entrance,22,,
,APT_FP_e0355f91_17446927,rejected,no_unit_with_entrance,15,,
APT_FP_a8fe209f_17446927_u0,APT_FP_a8fe209f_17446927,ok,,12,8,True
APT_FP_a8fe209f_17446927_u1,APT_FP_a8fe209f_17446927,ok,,3,2,True
APT_FP_a8fe209f_17446927_u2,APT_FP_a8fe209f_17446927,ok,,8,6,True
APT_FP_a8fe209f_17446927_u3,APT_FP_a8fe209f_17446927,ok,,13,10,True
,APT_FP_59fb2823_17441963,rejected,no_unit_with_entrance,19,,
APT_FP_9b8dc33a_17441963_u0,APT_FP_9b8dc33a_17441963,ok,,2,1,True
APT_FP_61597f8a_17446927_u0,APT_FP_61597f8a_17446927,ok,,3,2,True
APT_FP_61597f8a_17446927_u1,APT_FP_61597f8a_17446927,ok,,20,12,True
APT_FP_61597f8a_17446927_u2,APT_FP_61597f8a_17446927,ok,,12,8,True
APT_FP_61597f8a_17446927_u3,APT_FP_61597f8a_17446927,ok,,3,2,True
APT_FP_2d6ff887_17441963_u0,APT_FP_2d6ff887_17441963,ok,,2,1,True
,APT_FP_c46134f3_17446941,rejected,no_unit_with_entrance,8,,
APT_FP_329b3662_17434935_u0,APT_FP_329b3662_17434935,ok,,3,2,True
APT_FP_329b3662_17434935_u1,APT_FP_329b3662_17434935,ok,,3,2,True
APT_FP_329b3662_17434935_u2,APT_FP_329b3662_17434935,ok,,3,2,True
,APT_FP_badd4edf_17446927,rejected,no_unit_with_entrance,16,,
APT_FP_54f205ab_17446927_u0,APT_FP_54f205ab_17446927,ok,,13,10,True
APT_FP_54f205ab_17446927_u1,APT_FP_54f205ab_17446927,ok,,4,3,True
APT_FP_54f205ab_17446927_u2,APT_FP_54f205ab_17446927,ok,,20,12,True
APT_FP_54f205ab_17446927_u3,APT_FP_54f205ab_17446927,ok,,3,2,True
,APT_FP_1486707e_17438514,rejected,no_unit_with_entrance,15,,
APT_FP_b1fb00c8_17446941_u0,APT_FP_b1fb00c8_17446941,ok,,5,2,True
APT_FP_b1fb00c8_17446941_u1,APT_FP_b1fb00c8_17446941,ok,,4,2,True
APT_FP_5f4bde87_17447720_u0,APT_FP_5f4bde87_17447720,ok,,5,4,True
APT_FP_5f4bde87_17447720_u1,APT_FP_5f4bde87_17447720,ok,,6,5,True
APT_FP_e19c5344_17447720_u0,APT_FP_e19c5344_17447720,ok,,5,4,True
APT_FP_e19c5344_17447720_u1,APT_FP_e19c5344_17447720,ok,,5,4,True
APT_FP_e5ba6c1a_17434935_u0,APT_FP_e5ba6c1a_17434935,ok,,3,2,True
APT_FP_e5ba6c1a_17434935_u1,APT_FP_e5ba6c1a_17434935,ok,,3,2,True
APT_FP_e5ba6c1a_17434935_u2,APT_FP_e5ba6c1a_17434935,ok,,5,4,True
APT_FP_e5ba6c1a_17434935_u3,APT_FP_e5ba6c1a_17434935,ok,,6,5,True
APT_FP_88cef5c9_17446927_u0,APT_FP_88cef5c9_17446927,ok,,2,1,True
APT_FP_88cef5c9_17446927_u1,APT_FP_88cef5c9_17446927,ok,,19,12,True
APT_FP_88cef5c9_17446927_u2,APT_FP_88cef5c9_17446927,ok,,2,1,True
APT_FP_88cef5c9_17446927_u3,APT_FP_88cef5c9_17446927,ok,,3,2,True
APT_FP_865ae1ba_17438443_u0,APT_FP_865ae1ba_17438443,ok,,10,8,True
APT_FP_865ae1ba_17438443_u1,APT_FP_865ae1ba_17438443,ok,,15,10,True
APT_FP_11fc3334_17447720_u0,APT_FP_11fc3334_17447720,ok,,17,11,True
APT_FP_11fc3334_17447720_u1,APT_FP_11fc3334_17447720,ok,,11,6,True
APT_FP_372ff705_17447720_u0,APT_FP_372ff705_17447720,ok,,14,8,True
APT_FP_372ff705_17447720_u1,APT_FP_372ff705_17447720,ok,,13,10,True
APT_FP_36a5199d_17446927_u0,APT_FP_36a5199d_17446927,ok,,10,4,True
APT_FP_36a5199d_17446927_u1,APT_FP_36a5199d_17446927,ok,,2,1,True
APT_FP_12b385e2_17446927_u0,APT_FP_12b385e2_17446927,ok,,13,10,True
APT_FP_12b385e2_17446927_u1,APT_FP_12b385e2_17446927,ok,,20,12,True
APT_FP_12b385e2_17446927_u2,APT_FP_12b385e2_17446927,ok,,20,12,True
APT_FP_12b385e2_17446927_u3,APT_FP_12b385e2_17446927,ok,,3,2,True
APT_FP_6ddd4794_17438514_u0,APT_FP_6ddd4794_17438514,ok,,2,1,True
APT_FP_793dd9ec_17434935_u0,APT_FP_793dd9ec_17434935,ok,,2,1,True
APT_FP_1904c5fe_17438443_u0,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u1,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u2,APT_FP_1904c5fe_17438443,ok,,6,5,True
APT_FP_1904c5fe_17438443_u3,APT_FP_1904c5fe_17438443,ok,,7,6,True
APT_FP_1904c5fe_17438443_u4,APT_FP_1904c5fe_17438443,ok,,2,1,True
APT_FP_bef8304d_17434935_u0,APT_FP_bef8304d_17434935,ok,,2,1,True
APT_FP_5af7cf9a_17446927_u0,APT_FP_5af7cf9a_17446927,ok,,3,2,True
,APT_FP_40166441_17446927,rejected,no_unit_with_entrance,17,,
