graph_id,sheet_id,reason,n_rooms,program
APT_FP_cf690f05_17438514_u0,APT_FP_cf690f05_17438514,missing_essential:주방,10,드레스룸:1;침실:3;거실:1;실외기실:1;화장실:3;현관:1
APT_FP_efc66948_17434935_u0,APT_FP_efc66948_17434935,missing_essential:주방,10,침실:3;실외기실:1;화장실:2;현관:1;기타:1;발코니:1;거실:1
APT_FP_3cb7530f_17446927_u1,APT_FP_3cb7530f_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_b2f39035_17446927_u0,APT_FP_b2f39035_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_9bdd8da4_17438514_u0,APT_FP_9bdd8da4_17438514,missing_essential:주방,8,침실:3;현관:1;기타:1;드레스룸:1;화장실:1;거실:1
APT_FP_11840655_17446927_u3,APT_FP_11840655_17446927,missing_essential:주방,12,현관:1;실외기실:1;거실:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3
APT_FP_4d8e7597_17434935_u0,APT_FP_4d8e7597_17434935,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
,APT_FP_e0355f91_17446927,no_unit_with_entrance,15,
APT_FP_a8fe209f_17446927_u1,APT_FP_a8fe209f_17446927,missing_essential:주방,12,침실:3;현관:1;드레스룸:1;화장실:2;기타:2;거실:1;실외기실:1;발코니:1
,APT_FP_59fb2823_17441963,no_unit_with_entrance,19,
APT_FP_c46134f3_17446941_u0,APT_FP_c46134f3_17446941,"missing_essential:거실,침실",4,현관:1;화장실:1;주방:1;기타:1
APT_FP_329b3662_17434935_u1,APT_FP_329b3662_17434935,missing_essential:주방,14,화장실:2;거실:1;침실:3;기타:1;드레스룸:2;현관:1;발코니:3;실외기실:1
,APT_FP_badd4edf_17446927,no_unit_with_entrance,16,
APT_FP_e5ba6c1a_17434935_u0,APT_FP_e5ba6c1a_17434935,missing_essential:주방,14,현관:1;침실:3;화장실:2;실외기실:1;기타:1;거실:1;발코니:3;드레스룸:2
APT_FP_793dd9ec_17434935_u0,APT_FP_793dd9ec_17434935,"missing_essential:거실,침실,주방,화장실",2,현관:1;발코니:1
APT_FP_bef8304d_17434935_u0,APT_FP_bef8304d_17434935,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_5af7cf9a_17446927_u0,APT_FP_5af7cf9a_17446927,"missing_essential:거실,침실,주방",3,현관:1;기타:1;화장실:1
,APT_FP_40166441_17446927,no_unit_with_entrance,17,
APT_FP_9acf0e12_17438514_u0,APT_FP_9acf0e12_17438514,missing_essential:주방,12,침실:3;현관:1;발코니:2;화장실:3;드레스룸:1;기타:1;거실:1
APT_FP_1f42c991_17446927_u0,APT_FP_1f42c991_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_8a36135c_17446927_u0,APT_FP_8a36135c_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_7a0d5d84_17441963_u0,APT_FP_7a0d5d84_17441963,missing_essential:주방,9,화장실:2;현관:1;거실:1;발코니:1;기타:1;침실:3
APT_FP_64fd476b_17446927_u0,APT_FP_64fd476b_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
,APT_FP_9179aee0_17434935,no_unit_with_entrance,25,
,APT_FP_7e4e288a_17434935,no_unit_with_entrance,20,
,APT_FP_0f03cadf_17436388,no_unit_with_entrance,17,
APT_FP_ecca636c_17434935_u0,APT_FP_ecca636c_17434935,missing_essential:주방,14,드레스룸:2;기타:1;거실:1;발코니:3;화장실:2;침실:3;실외기실:1;현관:1
APT_FP_e752940a_17446927_u0,APT_FP_e752940a_17446927,missing_essential:주방,7,기타:1;침실:2;거실:1;화장실:2;현관:1
APT_FP_d4dc2278_17446927_u0,APT_FP_d4dc2278_17446927,missing_essential:침실,7,기타:1;다목적공간:1;화장실:1;실외기실:1;현관:1;거실:1;주방:1
,APT_FP_0a8937f6_17441963,no_unit_with_entrance,14,
APT_FP_03e8b083_17446927_u0,APT_FP_03e8b083_17446927,missing_essential:침실,6,다목적공간:1;화장실:1;주방:1;거실:1;현관:1;기타:1
APT_FP_e4900f9c_17434935_u1,APT_FP_e4900f9c_17434935,missing_essential:주방,14,현관:1;드레스룸:2;화장실:2;거실:1;침실:3;실외기실:1;발코니:3;기타:1
,APT_FP_468d10b6_17434935,no_unit_with_entrance,20,
APT_FP_70e6c994_17434935_u1,APT_FP_70e6c994_17434935,missing_essential:주방,14,거실:1;기타:1;드레스룸:2;침실:3;화장실:2;발코니:3;현관:1;실외기실:1
APT_FP_70e6c994_17434935_u3,APT_FP_70e6c994_17434935,missing_essential:주방,14,거실:1;기타:1;드레스룸:2;침실:3;화장실:2;발코니:3;현관:1;실외기실:1
,APT_FP_ba3e0686_17434935,no_unit_with_entrance,21,
,APT_FP_d766a2e9_17434935,no_unit_with_entrance,18,
APT_FP_261561f8_17446927_u0,APT_FP_261561f8_17446927,missing_essential:주방,10,침실:3;현관:1;발코니:1;화장실:2;드레스룸:1;실외기실:1;거실:1
APT_FP_261561f8_17446927_u3,APT_FP_261561f8_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
APT_FP_6ed363c5_17446927_u0,APT_FP_6ed363c5_17446927,missing_essential:주방,12,거실:1;기타:2;침실:3;드레스룸:1;현관:1;발코니:1;화장실:2;실외기실:1
APT_FP_29a7daa1_17446927_u1,APT_FP_29a7daa1_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_29a7daa1_17446927_u3,APT_FP_29a7daa1_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
APT_FP_f0a17ca5_17446927_u3,APT_FP_f0a17ca5_17446927,missing_essential:주방,10,실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1;드레스룸:1
,APT_FP_aab09e28_17441963,no_unit_with_entrance,20,
,APT_FP_dc068135_17434935,no_unit_with_entrance,17,
APT_FP_b6994259_17446927_u0,APT_FP_b6994259_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_b6994259_17446927_u2,APT_FP_b6994259_17446927,missing_essential:주방,12,실외기실:1;거실:1;현관:1;기타:2;발코니:1;화장실:2;드레스룸:1;침실:3
APT_FP_34336382_17456206_u0,APT_FP_34336382_17456206,missing_essential:주방,6,기타:1;침실:2;현관:1;화장실:1;거실:1
APT_FP_0de692a6_263013_u1,APT_FP_0de692a6_263013,"missing_essential:거실,화장실",3,주방:1;침실:1;현관:1
,APT_FP_ddb8a1e8_17446927,no_unit_with_entrance,14,
APT_FP_b64c3806_223495_u0,APT_FP_b64c3806_223495,"missing_essential:거실,침실,주방",2,화장실:1;현관:1
APT_FP_b64c3806_223495_u1,APT_FP_b64c3806_223495,"missing_essential:거실,침실,주방",2,현관:1;화장실:1
APT_FP_24a38da7_17446927_u1,APT_FP_24a38da7_17446927,missing_essential:주방,12,드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1;발코니:1;화장실:2
APT_FP_24a38da7_17446927_u2,APT_FP_24a38da7_17446927,missing_essential:주방,12,발코니:1;화장실:2;드레스룸:1;침실:3;기타:2;현관:1;실외기실:1;거실:1
,APT_FP_779f4a57_337980,no_unit_with_entrance,20,
,APT_FP_6f47f844_316696,no_unit_with_entrance,16,
APT_FP_3ee1b043_17446927_u0,APT_FP_3ee1b043_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;침실:3;화장실:2;현관:1;발코니:1
,APT_FP_bec528c1_314098,no_unit_with_entrance,17,
