sheet_id,confidence,scale_mm_per_px,bedroom_med_m2
APT_FP_0055ba97_17446927,low,1.2387,0.1
APT_FP_00717d5d_17441963,none,,
APT_FP_00aaa490_17447720,low,9.8838,5.2
APT_FP_01041d80_17434935,none,,
APT_FP_012a0f0a_17441963,none,,
APT_FP_016ec8bb_17447720,low,3.6012,0.8
APT_FP_01b0ac40_17446941,none,,
APT_FP_01b33bb8_17434935,none,,
APT_FP_01c18adb_17446927,none,,
APT_FP_01c76856_17447720,none,,
APT_FP_01f9e6b3_17446927,low,10.8,4.6
APT_FP_02b2bae2_17446927,low,4.6392,1.4
APT_FP_02cc22ae_17446927,low,4.4891,0.7
APT_FP_035b16b5_17434935,none,,
APT_FP_039352f7_17446927,low,3.8788,0.6
APT_FP_03a66986_17446927,none,,
APT_FP_03d61165_17434935,none,,
APT_FP_049c59ae_17434935,low,8.3756,9.4
APT_FP_04d3c21d_17441963,none,,
APT_FP_05756afe_17446927,none,,
APT_FP_057b461c_17435728,low,15.5629,32.0
APT_FP_0592992c_17446927,none,,
APT_FP_060b7000_17447720,none,,
APT_FP_0626b8fb_17446927,low,3.6213,0.9
APT_FP_06b856a8_17446927,low,2.5583,0.7
APT_FP_06e490d1_17434935,low,6.5141,10.3
APT_FP_071b123e_17446927,none,,
APT_FP_07262e70_17434935,none,,
APT_FP_073b5232_17447720,low,3.848,1.3
APT_FP_078efd03_17447720,none,,
APT_FP_083f31e0_17438514,low,16.9256,10.1
APT_FP_085ed68c_17446927,low,3.4734,0.5
APT_FP_08a614f1_17434935,none,,
APT_FP_093c501d_17446927,low,3.326,0.5
APT_FP_0985bf18_17446927,none,,
APT_FP_09aac2f7_17446927,low,3.8117,0.6
APT_FP_09dd4be6_17438514,none,,
APT_FP_0a0ad46b_17446927,low,2.6784,0.3
APT_FP_0a86fe52_701821,none,,
APT_FP_0ae14b8f_17441963,none,,
APT_FP_0b8563c2_17447720,none,,
APT_FP_0b8d5694_17446927,none,,
APT_FP_0b94dae4_17441963,none,,
APT_FP_0c44c8d4_17447720,none,,
APT_FP_0cc7b06c_17446927,none,,
APT_FP_0d8ac71f_17446927,low,4.2186,1.2
APT_FP_0dcfd4ff_17441963,none,,
APT_FP_0e7114a6_17447720,none,,
APT_FP_0e817348_17446927,low,5.657,1.2
APT_FP_0ef2662b_17438514,low,16.942,11.5
APT_FP_100ffe63_17447720,low,1.4977,0.2
APT_FP_102753f6_17441963,low,8.0515,10.3
APT_FP_10577fe5_17446927,low,4.1539,0.7
APT_FP_106b8d72_17446927,low,2.2807,1.1
APT_FP_1115d8c7_17446927,none,,
APT_FP_11af0346_17447720,none,,
APT_FP_11e18bd5_17446927,none,,
APT_FP_11e7ee99_17447720,low,2.6062,0.3
APT_FP_11ef6f0a_17446927,low,4.2321,0.6
APT_FP_11fc3334_17447720,none,,
APT_FP_12c0200b_17446927,low,4.8673,0.9
APT_FP_12ebfefa_17447720,low,4.7333,2.0
APT_FP_12f2f05c_17447720,low,10.7367,6.0
APT_FP_1310959e_17446927,none,,
APT_FP_134f1333_17447720,none,,
APT_FP_1391dd2f_17441963,none,,
APT_FP_13e0c574_17434935,none,,
APT_FP_14130cea_17446927,low,1.8993,0.4
APT_FP_14227c29_17434935,none,,
APT_FP_144f9238_17446927,none,,
APT_FP_1486707e_17438514,none,,
APT_FP_14db718d_17446927,low,1.0378,0.1
APT_FP_14f42266_17446927,low,4.7643,0.9
APT_FP_14f8b55f_17438443,low,29.9947,84.1
APT_FP_14fe47e1_17447720,none,,
APT_FP_15310ad0_17434935,none,,
APT_FP_160a1e40_17446927,low,4.0723,0.7
APT_FP_160e3dd0_17434935,none,,
APT_FP_163600a0_17447720,none,,
APT_FP_1691c3c0_17447720,none,,
APT_FP_16bd0ba0_17447720,low,11.7827,5.4
APT_FP_17d5032a_17446927,low,4.2392,0.6
APT_FP_17fc1aa0_17441963,low,7.1251,9.2
APT_FP_18d2e761_17446927,none,,
APT_FP_19b571ad_17446927,low,3.6291,0.5
APT_FP_19b7ff98_17446927,none,,
APT_FP_1a1e4785_17446927,low,5.6663,1.0
APT_FP_1a6dbc38_17441963,low,7.9512,7.3
APT_FP_1a7288fb_17441963,none,,
APT_FP_1ad935ff_17446927,low,4.21,0.6
APT_FP_1b8d6c8a_17446927,low,5.6965,1.2
APT_FP_1be0fa64_17446927,low,2.6386,0.5
APT_FP_1c4009f6_17447720,none,,
APT_FP_1c5595c7_17447720,none,,
APT_FP_1cd63d3b_17434935,none,,
APT_FP_1ce93e4b_17446927,low,5.6663,1.0
APT_FP_1cf4e5c5_17446927,none,,
APT_FP_1d1fab6d_17434935,low,8.5623,18.0
APT_FP_1d2e7ca0_17438514,none,,
APT_FP_1dbf82aa_17446927,none,,
APT_FP_1de9e7a3_17446927,low,4.4905,1.1
APT_FP_1e834c6a_17441963,low,8.7077,13.9
APT_FP_1e880100_17434935,low,37.7515,179.9
APT_FP_1ee557b4_17447720,none,,
APT_FP_1efca362_17447720,low,3.0779,0.6
APT_FP_1f69d264_17446927,none,,
APT_FP_2011aba5_17441963,none,,
APT_FP_208dc8a6_17434935,none,,
APT_FP_20feb0c6_17434935,none,,
APT_FP_21695f23_17446927,low,4.2152,0.7
APT_FP_224394ba_17447720,none,,
APT_FP_2310bdd4_17434935,none,,
APT_FP_23231876_17438514,none,,
APT_FP_2330ee16_17434935,none,,
APT_FP_2336586d_17446927,none,,
APT_FP_234666ee_17446927,none,,
APT_FP_23bbda34_17446927,none,,
APT_FP_23f6ff96_17434935,none,,
APT_FP_240cd373_17446927,none,,
APT_FP_24365f06_17434935,none,,
APT_FP_244cd8e0_17446927,low,4.5141,1.6
APT_FP_2476337e_17446927,low,3.8479,0.6
APT_FP_24a886a9_17446927,low,2.6971,1.1
APT_FP_24c24870_17434935,none,,
APT_FP_24c44945_17446927,none,,
APT_FP_24edd239_17434935,none,,
APT_FP_25a81faf_17446927,low,4.519,1.3
APT_FP_25b9f648_17438514,none,,
APT_FP_25e4d6d8_17446927,low,3.6518,0.5
APT_FP_264d4617_17434935,none,,
APT_FP_268ad878_17446927,low,3.3053,0.7
APT_FP_26a93b84_17446927,low,4.5171,0.7
APT_FP_26b47cb9_17441963,none,,
APT_FP_2768562f_17434935,low,6.4339,10.5
APT_FP_27834c64_17434935,low,32.951,67.9
